stock_id,name
stk_55086ea38656fe999b9ecfe8d4aa16dd,Aaron Gordon
stk_63a58b55849249a4da31c5159c277902,Al Horford
stk_5fda36139293288465a23a8265df6640,Aleksej Pokusevski
stk_5fda36138b3d8089248164700733b78d,Anthony Edwards
stk_eb9f01dc0b42e354366fd5be823fc05d,Bruce Brown
stk_3691c43454c522a8a0df48c557ff6b85,Buddy Hield
stk_c8575d48d76bc1fc63dd1b9b84f50fbd,Chris Boucher
stk_86ea8af848cca3f60d43001133887551,Chris Paul
stk_cce547a13852cf425fb49bbef0c1a047,Christian Wood
stk_6f00e5a44587434e7670b5c171095e92,Clint Capela
stk_7f80713e2926a28c7a77d1dfb83c2475,Collin Sexton
stk_7e274b6cb95b0d20b70016461c5ae15c,Danuel House
stk_2c32422174fc1a5a264857a2f6078612,Darius Garland
stk_821cc214f2e550d88101bee6f7016d0f,De'Aaron Fox
stk_67c8368a3905f8beee69393ccec854e5,Deandre Ayton
stk_9ff8269f39a3a9efd8071652a0190821,Dejounte Murray
stk_d990c82c4ca85db2842ad80db1af326d,DeMar DeRozan
stk_1fa4838d30549dd8c70eb5d3e8bc7913,Derrick White
stk_53bced79c545065841bc86995bb8dce0,Devin Booker
stk_c38dcf35704264c4ec864143799aaef3,Devonte' Graham
stk_66ecfa0bb24ccc5868f025eeb01b0346,Donovan Mitchell
stk_9076cef21a11902cb807f4d22ee8aff0,Donte DiVincenzo
stk_58d79b9f2662f624992d693bff1bfca4,Evan Fournier
stk_cd439276c8d11f5d3783506146a77e59,Fred VanVleet
stk_12d0c14aa5dfd232a0298a737f5a59fc,Giannis Antetokounmpo
stk_f7c5bbc448149f9939a08d2d299409c7,Gordon Hayward
stk_b809d1c7049b670f11c7436db6fcd2ff,Harrison Barnes
stk_85e7a39b281a7530b8301afc32033926,Ivica Zubac
stk_4e6934614546f665f922b42e238d411c,Ja Morant
stk_5fda3611c9b566a16549366d77ef717c,Jae'Sean Tate
stk_6f4d2e8b1bb4befa3e0aaa8fcd56831c,Jakob Poeltl
stk_d4dffde4be5e9336cc71af2a5fc9de29,Jamal Murray
stk_998cf3066566c3936c9063a6778b86f1,James Harden
stk_76c100ef2f1e6d85af36efbcfb0a056c,Jarrett Allen
stk_4b8c495d9fa8db90c0b6dd48d1b5d785,Jaylen Brown
stk_da4bddbbc347c31feb5f2e7b12506b74,Jayson Tatum
stk_3c7eaf589d0dd271990a183d4d233b76,Joe Harris
stk_d69d46129a5ecc849c083c99e86ebf65,John Collins
stk_e9d06d05152dd51e4a3b68b4b5b62305,John Wall
stk_8d1c1ad7764c997b0db885553bb42b48,Jonas Valanciunas
stk_b1f75a880e970eed62358ab33ea3501c,Jordan Clarkson
stk_b3147c681557a2644f58a36079723a84,Josh Richardson
stk_92a366f55dc75d937ee1ee6fef05c4fb,Jrue Holiday
stk_a0e5a05ba2d8c2a5b33eee7311eabd59,Karl-Anthony Towns
stk_bb115bd4f54ff3194bbf231d2fabad71,Kawhi Leonard
stk_fe61ab69829bf6dab4dd36f9250fd546,Keldon Johnson
stk_a9edb859d18234d00349a7fbe2b08250,Kemba Walker
stk_f2604b3c6ec43ff2043b769ab4852685,Khris Middleton
stk_a488da70359965f95456034bc11ea488,Kristaps Porzingis
stk_742e21c662c0c7b4ba067441be0a93f8,Kyle Anderson
stk_cc28fb3568e3a1d6827b90d3c668c433,Kyle Lowry
stk_0d014b549f9719c0b8a32d32eed22320,Larry Nance
stk_12eea72edeb9eff384f34270977fbdc8,Lauri Markkanen
stk_85078b5202b93fb54b82975a7a022b4c,Luguentz Dort
stk_953b227a97f4290aed5f55ba10d15cfe,Luka Doncic
stk_049fe8ca7bf97ec4f11727a7d6462147,Marcus Smart
stk_93b3dc565aebb4599e785daf47b809a6,Michael Porter
stk_4d6d905196dd90c87f3a61c09353d8b4,Mikal Bridges
stk_2c3266def21aaa4bda3b4e2c77f34fce,Mike Conley
stk_e381619f3ec34c1baf6e5c5870e132bb,Moses Brown
stk_3f989864d2e21f67d4b40fcc42526503,Nicolas Claxton
stk_6cb399d24c249554400e3be520480301,Nikola Jokic
stk_f6c7d554d2fa9f754e26a136a78154f1,Nikola Vucevic
stk_6de03cb5c6424ccca9571cf1bc851464,Norman Powell
stk_82db34a5ef5dff8ea7ec34a62a380e9b,OG Anunoby
stk_1fcc2ca79b66ea18e620d2eaab2233f0,P.J. Washington
stk_7c131e7cfd4ca8ad7698bc51a615d580,Pascal Siakam
stk_f59563a6406f63f4bd7c3b0a9108b530,Paul George
stk_b9786ebd07e59bfe3704ecf6a8438756,Richaun Holmes
stk_14affbe5fe4c8278f9dd5f66f4649be7,Ricky Rubio
stk_233a24e71677893cecac349d5e5ef77d,Robert Williams
stk_2d5eb9139e57478cbc9808bd88c32da0,Rudy Gobert
stk_ddb9b040cd92aaa9ec560b0ff19a38d8,Terry Rozier
stk_7a8c892f8f7db03533477d245cd7cd31,Thaddeus Young
stk_5fda3613013e477cc3e721d720f05251,Theo Maledon
stk_fc14939530748ee0e24ad4571b5c8921,Trae Young
stk_5fda36100c32cf2fff26276b06d24863,Tyrese Haliburton
stk_9aaf7bc2e8816facc3a723f8d912a3e0,Victor Oladipo
stk_29f4c1657b835f2a12b8d86487387e58,Will Barton
stk_6e0fdc100bc85f36982958c63fa49d4d,Zach LaVine